1,2,5; 3,5,7; 8,7,6; 4,6,2; - sum = 20; d3 = 0;
1,2,6; 3,6,5; 8,5,7; 4,7,2; - sum = 20; d3 = 0;
1,2,6; 3,6,7; 8,7,5; 4,5,2; - sum = 20; d3 = 0;
1,2,7; 3,7,5; 8,5,6; 4,6,2; - sum = 20; d3 = 0;
1,2,7; 3,7,6; 8,6,5; 4,5,2; - sum = 20; d3 = 0;
1,5,2; 3,2,6; 8,6,7; 4,7,5; - sum = 20; d3 = 0;
1,5,2; 3,2,7; 8,7,6; 4,6,5; - sum = 20; d3 = 0;
1,5,6; 3,6,2; 8,2,7; 4,7,5; - sum = 20; d3 = 0;
1,5,6; 3,6,7; 8,7,2; 4,2,5; - sum = 20; d3 = 0;
1,5,7; 3,7,2; 8,2,6; 4,6,5; - sum = 20; d3 = 0;
1,5,7; 3,7,6; 8,6,2; 4,2,5; - sum = 20; d3 = 0;
1,6,2; 3,2,5; 8,5,7; 4,7,6; - sum = 20; d3 = 0;
1,6,2; 3,2,7; 8,7,5; 4,5,6; - sum = 20; d3 = 0;
1,6,5; 3,5,2; 8,2,7; 4,7,6; - sum = 20; d3 = 0;
1,6,5; 3,5,7; 8,7,2; 4,2,6; - sum = 20; d3 = 0;
1,6,7; 3,7,2; 8,2,5; 4,5,6; - sum = 20; d3 = 0;
1,6,7; 3,7,5; 8,5,2; 4,2,6; - sum = 20; d3 = 0;
1,7,2; 3,2,5; 8,5,6; 4,6,7; - sum = 20; d3 = 0;
1,7,2; 3,2,6; 8,6,5; 4,5,7; - sum = 20; d3 = 0;
1,7,5; 3,5,2; 8,2,6; 4,6,7; - sum = 20; d3 = 0;
